1  0.000000	0.000000
2  0.000000	0.000000
3  0.000000	0.000000
4  0.000000	0.000100
5  0.000000	0.000100
6  0.000000	0.000100
7  0.000000	0.000200
8  0.000000	0.000200
9  0.000000	0.000200
10  0.000000	0.000200
11  0.000000	0.000200
12  0.000000	0.000300
13  0.000000	0.000300
14  0.000000	0.000300
15  0.000000	0.000300
16  0.000000	0.000400
17  0.000000	0.000400
18  0.000000	0.000400
19  0.000000	0.000500
20  0.000000	0.000500
21  0.000000	0.000500
22  0.000000	0.000500
23  0.000000	0.000500
24  0.000000	0.000600
25  0.000000	0.000600
26  0.000000	0.000600
27  0.000000	0.000600
28  0.000000	0.000700
29  0.000000	0.000700
30  0.000000	0.000700
31  0.000000	0.000700
32  0.000000	0.000700
