1  0.000000	0.000000
2  0.000000	0.000000
3  0.000000	0.000000
4  0.000000	0.000000
5  0.000000	0.000100
6  0.000000	0.000100
7  0.000000	0.000100
8  0.000000	0.000100
9  0.000000	0.000200
10  0.000000	0.000200
11  0.000000	0.000200
12  0.000000	0.000200
13  0.000000	0.000200
14  0.000000	0.000300
15  0.000000	0.000300
16  0.000000	0.000300
17  0.000000	0.000300
18  0.000000	0.000400
19  0.000000	0.000400
20  0.000000	0.000400
21  0.000000	0.000400
22  0.000000	0.000400
23  0.000000	0.000500
24  0.000000	0.000500
25  0.000000	0.000500
26  0.000000	0.000500
27  0.000000	0.000600
28  0.000000	0.000600
29  0.000000	0.000600
30  0.000000	0.000700
31  0.000000	0.000700
32  0.000000	0.000700
